Flow Duration;Total Fwd Packets;Packet Length Mean;Flow Bytes/s;Fwd Packet Length Max;Label
664146,3;78;389,64;35535343,75;1396,31;1
52,560926;1;66;1,255685616;0;0
2557,076437;1;164;0,064135744;130;0
2735,115292;1;1150;0,420457596;1116;0
2894,784255;1;1514;0,523009615;1460;0
68576;27;569,1034543;1599701,821;1514;0
2361,979883;1;1123;0,475448588;1089;0
2895,043014;1;1514;0,522962869;1460;0
910,441304;1;1292;1,41909203;1238;0
2893,526662;1;1514;0,523236927;1460;0
93,212507;1;1294;13,88225709;1240;0
554202,08;20;482,99;92867506,09;544,58;1
95541;18;383,4972808;1780645,38;1103,105347;1
187,560103;1;173;0,922370996;0;0
2823,339244;1;1514;0,53624445;0;0
53,701061;1;66;1,229025973;0;0
52,459969;1;1514;28,86010038;0;0
51,587611;1;1514;29,3481311;0;0
1717,854278;1;1371;0,798088649;0;0
104740;20;419,1260381;825940,7066;1157,726204;1
742350,5;86;997,41;27900766,81;721,98;1
2939,764437;1;74;0,025172085;0;0
2450,286556;1;166;0,067747178;132;0
428,972515;1;74;0,172505224;0;0
2489,489762;1;1171;0,470377512;1137;0
54,684757;1;1514;27,68595959;0;0
51,748772;1;54;1,043503002;0;0
2937,122958;1;1292;0,439886249;1238;0
1;2;447;894000000;447;1
598420,35;68;995,11;67076697,67;1092,93;1
2702,695926;1;1238;0,458061148;1204;0
53,76711;1;1514;28,15847777;0;0
116,365514;1;611;5,25069648;0;0
2165,478956;1;1053;0,486266559;1019;0
660,799449;1;110;0,16646503;56;0
435,179065;1;1466;3,368728219;0;0
947169,39;90;408,76;53948782,12;949,52;1
2227,636119;1;200;0,08978127;166;0
523,490405;1;1292;2,468049052;1238;0
902551,09;3;763,77;55741001,01;1057,62;1
264219,89;74;1472,76;41726856,85;168,23;1
50,07587;1;1514;30,23412214;0;0
2627,975993;1;188;0,071537944;154;0
2895,32178;1;1514;0,522912517;1460;0
54,009705;1;1514;28,03199854;0;0
1661,331127;1;841;0,506220576;787;0
2901,827001;1;1514;0,521740269;0;0
2936,804266;1;1292;0,439933984;1238;0
661,220821;1;1292;1,953961456;1238;0
130892;15;64;419538,5566;1075,062659;1
2683,075216;1;172;0,064105545;138;0
902,294925;1;1292;1,431904317;1238;0
54,942554;1;1514;27,55605377;0;0
1029,717705;1;1292;1,254712813;1238;0
2893,882101;1;1514;0,523172661;1460;0
2822,479564;1;1514;0,536407781;0;0
96308;30;675,0818851;813946,2045;1514;1
2910,315257;1;1514;0,520218556;1460;0
654,363433;1;1294;1,97749436;1240;0
2885,96126;1;54;0,01871127;0;0
2895,29641;1;1514;0,522917099;1460;0
623,900816;1;1294;2,074047613;1240;0
921944,57;86;178,24;98572309,05;85,17;1
936210,84;85;814,68;27899339,14;1422,89;1
2894,220716;1;96;0,03316955;42;0
598,328974;1;1294;2,162689848;1240;0
2390,055968;1;171;0,071546442;137;0
56,352759;1;1514;26,86647469;0;0
561,091753;1;1294;2,306218173;1240;0
487,846617;1;1292;2,648373387;1238;0
176146,36;41;110,47;98431882,49;561,31;1
294,498912;1;74;0,251274272;0;0
672894,63;46;1147,87;19818930,16;200,73;1
654,362045;1;1294;1,977498554;1240;0
571877,12;67;1114,64;63758604,71;616,14;1
242,085679;1;1292;5,336953429;1238;0
2324,809157;1;569;0,244751273;515;0
625,439597;1;1294;2,068944794;1240;0
2904,415062;1;532;0,183169412;478;0
699,381973;1;1292;1,847345296;1238;0
163118,54;19;759,4;50572880,4;971,12;1
782446,77;34;1050,56;63318390,96;507,01;1
49,917559;1;1514;30,33000812;0;0
1;2;585;1170000000;585;1
294,508014;1;157;0,533092453;0;0
951454,11;29;798,86;43319235,39;338,54;1
2571,817732;1;184;0,071544728;150;0
864,731127;1;1292;1,494106038;1238;0
853696,68;32;405,79;72003719,38;260,15;1
715854,07;51;215,75;32020360,35;938,37;1
165983,56;46;297,17;12532177,23;549,64;1
50,106157;1;1514;30,21584692;0;0
118,590627;1;1292;10,89462145;1238;0
2937,048708;1;1292;0,439897369;1238;0
580,64757;1;1294;2,228546307;1240;0
113525;25;462,2135492;226923,388;942,4397171;1
1071,096758;1;1292;1,206240229;1238;0
2895,651937;1;1514;0,522852895;1460;0
83,696528;1;1294;15,46061725;1240;0
2947,812761;1;74;0,025103358;0;0
469,21696;1;1292;2,753523652;1238;0
284633,48;27;246,1;94699232,07;132,9;1
1665,975965;1;102;0,061225373;48;0
403052,72;69;953,64;91170921,71;239,52;1
425643,11;71;736,49;66032503,91;727,34;1
168537;20;311,0352213;516118,8299;1514;1
953,096945;1;1292;1,355580883;1238;0
2886,818106;1;1514;0,524452856;1460;0
54,291505;1;66;1,215659776;0;0
53,744841;1;66;1,228024821;0;0
620,837121;1;1294;2,084282583;1240;0
590,995319;1;74;0,125212497;0;0
2891,900881;1;1514;0,523531083;0;0
2901,78612;1;1514;0,521747619;1460;0
2481,98589;1;174;0,070105153;140;0
2671,195925;1;176;0,065888091;142;0
435,19197;1;74;0,170039902;0;0
63,769365;1;1292;20,26051192;1238;0
27013;25;563,4888718;435570,4114;1514;1
251,228753;1;86;0,342317504;0;0
2937,138792;1;1292;0,439883877;1238;0
17168,48;18;113,05;97783997,1;266,94;1
866582,33;60;1312,86;56923616,94;1459,09;1
54,778413;1;1514;27,63862422;0;0
2937,923256;1;1292;0,439766422;1238;0
2042,209494;1;74;0,036235264;0;0
55,903998;1;54;0,965941631;0;0
123616,58;27;1450,37;68784557,05;73,36;1
625,378461;1;1294;2,06914705;1240;0
741,998646;1;1292;1,741243067;1238;0
961,943715;1;1292;1,343113925;1238;0
454,821474;1;1292;2,840675014;1238;0
2046,219786;1;1128;0,55126043;1094;0
598,340491;1;1294;2,16264822;1240;0
51,726081;1;1514;29,26956656;0;0
167351;17;748,8901219;594381,5708;1219,316233;1
22620,15;97;959,14;59232573,44;570,27;1
2941,061474;1;939;0,319272483;885;0
346544,19;70;641,74;94693988,01;649,02;1
164,076592;1;170;1,036101475;0;0
2894,715582;1;1514;0,523022023;1460;0
1701,753501;1;944;0,554721938;0;0
655,122979;1;1292;1,972148802;1238;0
2880,488855;1;1292;0,448534976;1238;0
54,731995;1;1514;27,66206443;0;0
2898,202912;1;1514;0,522392685;1460;0
645,5781;1;1294;2,004405041;1240;0
584,177051;1;1294;2,215081876;1240;0
54,929511;1;1514;27,56259695;0;0
1;2;413;826000000;413;1
526989,1;13;532,32;74966437,45;984,33;1
927686,62;42;169,29;39572150,79;689,77;1
931,338133;1;1292;1,38725126;1238;0
2069,105831;1;1274;0,615724909;1240;0
632,238382;1;142;0,224598828;88;0
54,169715;1;1514;27,94919582;0;0
894,064282;1;1292;1,445086248;1238;0
2307,770784;1;1227;0,531681919;1193;0
624,761464;1;1294;2,071190482;1240;0
44179,93;25;775,72;38314368,06;588,84;1
2745,094339;1;1194;0,434957729;1160;0
78294;18;639,1000961;2118612,537;1514;1
2849,814492;1;1514;0,53126265;0;0
560,726519;1;1294;2,307720348;1240;0
565,921943;1;1294;2,286534413;1240;0
2107,379763;1;1117;0,530042102;1083;0
667,311386;1;1292;1,936127609;1238;0
535369,88;54;1142,84;64055744,41;1044,22;1
2887,89526;1;95;0,03289593;41;0
1965,611099;1;1153;0,586586024;1119;0
145,054711;1;1123;7,741906378;0;0
94586;17;337,7888152;1824319,171;1302,080004;1
2365,557604;1;180;0,076091996;146;0
77119;22;373,0941833;226593,6592;1100,562674;1
84,196519;1;1292;15,34505227;1238;0
565,929411;1;1294;2,28650424;1240;0
2937,058423;1;1292;0,439895914;1238;0
671186,85;69;1295,26;79962194,07;788,28;1
76,359547;1;1292;16,91995348;1238;0
2676,531773;1;1242;0,464033348;1208;0
2949,756192;1;16480;5,586902416;0;0
55,68534;1;1514;27,18848395;0;0
53,271968;1;1514;28,42019975;0;0
2893,829749;1;1514;0,523182126;1460;0
2895,389833;1;1514;0,522900226;1460;0
777451,29;81;868,42;90098844,07;756,8;1
107558;23;525,4761269;1450586,62;1048,899653;1
2949,797527;1;74;0,025086468;0;0
2893,862486;1;1514;0,523176207;1460;0
2521,050435;1;1022;0,405386574;988;0
2893,294175;1;1514;0,523278971;1460;0
2188,271386;1;1262;0,576710918;1228;0
50,799181;1;1514;29,80362952;0;0
910,435557;1;1292;1,419100988;1238;0
784891,3;8;1290,64;42284608,99;1136,65;1
50,015187;1;74;1,479550572;0;0
2825,659276;1;1514;0,535804162;0;0
831,118971;1;1292;1,554530751;1238;0
461420,4;38;1235,64;75531967,88;351,23;1
2278,844607;1;127;0,055729996;93;0
2941,956469;1;74;0,025153329;0;0
2285,162301;1;1063;0,465174836;1029;0
584,454893;1;1294;2,214028855;1240;0
203752;26;391,1680963;1599441,257;1265,862395;1
50,4991;1;1514;29,98073174;0;0
2514,978246;1;1236;0,491455543;1202;0
52,326432;1;54;1,031983204;0;0
390979;19;287,6619151;1198901,695;1210,515941;1
1717,002309;1;441;0,256842986;387;0
736,531167;1;1292;1,754168807;1238;0
52,776203;1;1514;28,68717121;0;0
2891,920092;1;1514;0,523527605;0;0
49,801893;1;1514;30,40045023;0;0
243173,5;40;652,15;33406432,5;778,22;1
2062,780286;1;127;0,061567391;93;0
49,539082;1;1514;30,5617284;0;0
93818,75;23;906,11;12857820,68;1140,37;1
53,901534;1;1514;28,08825389;0;0
50,512135;1;1514;29,972995;0;0
2895,306286;1;1514;0,522915315;1460;0
53,961825;1;1514;28,05687117;0;0
53,092018;1;1514;28,51652713;0;0
491553,78;91;161;52643070,89;1053,19;1
2886,347681;1;1514;0,524538332;1460;0
448,093418;1;1292;2,883327327;1238;0
560,009556;1;1294;2,310674852;1240;0
82,093515;1;1466;17,85768318;0;0
53,06516;1;1514;28,53096027;0;0
523,4911;1;98;0,18720471;44;0
2941,019236;1;40394;13,73469425;0;0
560,089403;1;1294;2,310345439;1240;0
1664,540206;1;1292;0,776190322;1238;0
2882,1778;1;101;0,035042946;47;0
174,474096;1;1199;6,872080272;1145;0
175782;23;258,6259312;901745,6005;1514;0
109596;9;678,8054108;1671238,213;1514;0
349157,29;94;1259,54;28342758,67;1357,03;1
325292,63;86;423,08;16823150,66;1297,02;1
2353,180548;1;821;0,348889506;0;0
269764,52;94;1217,41;6780923,96;1439,21;1
49,959946;1;1514;30,30427554;0;0
2701,896385;1;1223;0,452645041;1189;0
574,709028;1;1294;2,251574161;1240;0
2484,683283;1;1220;0,491008254;1186;0
2109,450829;1;1167;0,553224557;1133;0
2198,916905;1;1208;0,549361368;1174;0
624,954087;1;1294;2,070552101;1240;0
460,20974;1;1292;2,807415587;1238;0
765666,78;8;239,28;5813462,87;1453,53;1
673,603465;1;1292;1,918042387;1238;0
2348,796878;1;127;0,054070235;93;0
663,456362;1;1294;1,950392026;1240;0
2895,438722;1;1514;0,522891397;1460;0
54,337901;1;1514;27,86268782;0;0
55,026083;1;1514;27,51422398;0;0
2813,179384;1;74;0,026304757;0;0
630,439823;1;1294;2,052535311;1240;0
786,318294;1;1292;1,643100521;1238;0
345,220258;1;74;0,214355902;0;0
2895,133338;1;1514;0,522946553;1460;0
1898,187228;1;55;0,028975013;0;0
2943,107392;1;18794;6,385767657;0;0
41332;21;360,1466688;1419795,033;1514;0
177315;19;857,643128;1769741,621;1514;0
651,914981;1;1294;1,984921402;1240;0
2615,103535;1;114;0,04359292;80;0
1545,136986;1;488;0,315829602;454;0
55,224545;1;54;0,977826056;0;0
9965;16;180,3495281;1252948,804;1461,384101;1
