Flow Duration;Total Fwd Packets;Packet Length Mean;Flow Bytes/s;Fwd Packet Length Max
664146,3;78;389,64;35535343,75;1396,31
52,560926;1;66;1,255685616;0
2557,076437;1;164;0,064135744;130
2735,115292;1;1150;0,420457596;1116
2894,784255;1;1514;0,523009615;1460
68576;27;569,1034543;1599701,821;1514
2361,979883;1;1123;0,475448588;1089
2895,043014;1;1514;0,522962869;1460
910,441304;1;1292;1,41909203;1238
2893,526662;1;1514;0,523236927;1460
93,212507;1;1294;13,88225709;1240
554202,08;20;482,99;92867506,09;544,58
95541;18;383,4972808;1780645,38;1103,105347
187,560103;1;173;0,922370996;0
2823,339244;1;1514;0,53624445;0
53,701061;1;66;1,229025973;0
52,459969;1;1514;28,86010038;0
51,587611;1;1514;29,3481311;0
1717,854278;1;1371;0,798088649;0
104740;20;419,1260381;825940,7066;1157,726204
742350,5;86;997,41;27900766,81;721,98
2939,764437;1;74;0,025172085;0
2450,286556;1;166;0,067747178;132
428,972515;1;74;0,172505224;0
2489,489762;1;1171;0,470377512;1137
54,684757;1;1514;27,68595959;0
51,748772;1;54;1,043503002;0
2937,122958;1;1292;0,439886249;1238
1;2;447;894000000;447
598420,35;68;995,11;67076697,67;1092,93
2702,695926;1;1238;0,458061148;1204
53,76711;1;1514;28,15847777;0
116,365514;1;611;5,25069648;0
2165,478956;1;1053;0,486266559;1019
660,799449;1;110;0,16646503;56
435,179065;1;1466;3,368728219;0
947169,39;90;408,76;53948782,12;949,52
2227,636119;1;200;0,08978127;166
523,490405;1;1292;2,468049052;1238
902551,09;3;763,77;55741001,01;1057,62
264219,89;74;1472,76;41726856,85;168,23
50,07587;1;1514;30,23412214;0
2627,975993;1;188;0,071537944;154
2895,32178;1;1514;0,522912517;1460
54,009705;1;1514;28,03199854;0
1661,331127;1;841;0,506220576;787
2901,827001;1;1514;0,521740269;0
2936,804266;1;1292;0,439933984;1238
661,220821;1;1292;1,953961456;1238
130892;15;64;419538,5566;1075,062659
2683,075216;1;172;0,064105545;138
902,294925;1;1292;1,431904317;1238
54,942554;1;1514;27,55605377;0
1029,717705;1;1292;1,254712813;1238
2893,882101;1;1514;0,523172661;1460
2822,479564;1;1514;0,536407781;0
96308;30;675,0818851;813946,2045;1514
2910,315257;1;1514;0,520218556;1460
654,363433;1;1294;1,97749436;1240
2885,96126;1;54;0,01871127;0
